"Monsters",,,,
,"Name","Wave","x","y"
,"string","int","int","int"
,"Basic_Teen",,,3
,"Basic_Teen",,1,4
,"Basic_Teen",,1,2
,"PinkHead_(RightLeft)",,1,5
,"PinkHead_(RightLeft)",,1,1
,"Basic_Teen",,2,6
,"Basic_Teen",,2,3
,"Basic_Teen",,3,7
,"Basic_Teen",,3,5
,"PinkHead_(LeftRight)",,3,4
,"PinkHead_(LeftRight)",,3,
,"Basic_Teen",,4,6
,"Spawner_Child_Rabbit",1,,1
,"Spawner_Child_Rabbit",1,,
,"Spawner_Child_Rabbit",1,,2
,"FireHead_Adult",1,1,3
,"Splitter_(Large)",1,2,5
,"Spawner_Child_Rabbit",1,2,2
,"Spawner_Child_Rabbit",1,2,3
,"Hypno",1,2,1
,"Spawner_Child_Rabbit",1,2,4
,"FireHead_Adult",1,2,7
,"FireHead_Adult",1,3,3
,"Spawner_Child_Rabbit",1,4,
,"Spawner_Child_Rabbit",1,4,1
,"Spawner_Child_Rabbit",1,4,2
,"Healer",2,,3
,"Fat",2,,6
,"Spawner_Adult_(Moving)_3",2,,4
,"Healer",2,1,3
,"Spawner_Adult_(Moving)_2",2,1,4
,"Healer",2,2,3
,"Spawner_Adult_(Moving)_1",2,2,4
,"Basic_Adult",2,2,6
,"Healer",2,3,3
,"Spawner_Adult_(Moving)_2",2,3,4
,"Fat",2,3,6
,"Healer",2,4,3
,"Spawner_Adult_(Moving)_3",2,4,4
