"Monsters",,,,
,"Name","Wave","x","y"
,"string","int","int","int"
,"Wall",,,3
,"Spawner_Adult_(Static)",,,4
,"Wall",,1,3
,"Spawner_Adult_(Moving)_2",,1,1
,"Wall",,2,7
,"Wall",,2,3
,"Spawner_Adult_(Moving)_2",,2,5
,"Wall",,3,7
,"Spawner_Adult_(Moving)_3",,3,5
,"Spawner_Adult_(Moving)_3",,3,1
,"Wall",,4,7
,"Bomb",1,,
,"Bomb",1,,4
,"Barrel",1,1,3
,"Wall",1,1,
,"Wall",1,1,4
,"FireHead_Adult",1,1,1
,"FireHead_Adult",1,1,2
,"Spawner_Adult_(Static)",1,1,5
,"Bomb",1,2,
,"Barrel",1,3,3
,"Wall",1,3,
,"Wall",1,3,4
,"FireHead_Adult",1,3,1
,"FireHead_Adult",1,3,2
,"Spawner_Adult_(Static)",1,3,5
,"Bomb",1,4,
,"Bomb",1,4,4
