"Monsters",,,,
,"Name","Wave","x","y"
,"string","int","int","int"
,"Spawner_Adult_(Moving)_3",,,4
,"Fat",,2,5
,"Healer",,2,4
,"Bomb",,2,3
,"FireHead_Adult",,2,2
,"Healer",,3,4
,"Bomb",,3,3
,"Splitter_(Small)",,4,3
,"Splitter_(Small)",,4,4
,"Splitter_(Small)",,4,5
,"FireHead_Adult",,4,2
,"Barrel",1,,2
,"Healer",1,,3
,"Fat",1,,4
,"Spawner_Adult_(Moving)_3",1,,
,"Wall",1,,1
,"Splitter_(Large)",1,,5
,"Spawner_Adult_(Moving)_3",1,1,2
,"Wall",1,1,3
,"Splitter_(Large)",1,1,5
,"Wall",1,2,5
,"Spawner_Adult_(Moving)_3",1,2,4
,"FireHead_Adult",1,2,1
,"Bomb",1,3,
,"Bomb",1,3,2
,"Splitter_(Mid)",1,3,6
,"Bomb",1,4,4
,"FireHead_Adult",1,4,1
