"Monsters",,,,
,"Name","Wave","x","y"
,"string","int","int","int"
,"Fat",,,5
,"Bomb",,,
,"Firehead_Child",,,3
,"FireHead_Adult",,1,2
,"FireHead_Adult",,1,4
,"Bomb",,2,
,"FireHead_Adult",,2,3
,"Firehead_Child",,2,5
,"Fat",,3,5
,"FireHead_Adult",,3,2
,"FireHead_Adult",,3,4
,"Bomb",,4,
,"Firehead_Child",,4,3
,"Hypno",1,,2
,"Wall",1,,3
,"Barrel",1,,4
,"Splitter_(Mid)",1,,5
,"Firehead_Child",1,,1
,"Splitter_(Mid)",1,1,6
,"Splitter_(Mid)",1,1,4
,"Firehead_Child",1,1,1
,"Firehead_Child",1,1,2
,"Firehead_Child",1,1,3
,"Splitter_(Mid)",1,2,3
,"Splitter_(Mid)",1,2,5
,"Bomb",1,3,
,"Bomb",1,3,2
,"Splitter_(Mid)",1,3,6
,"Spawner_Adult_(Static)",1,4,5
,"Wall",1,4,6
,"Barrel",1,4,7
