"Monsters",,,,
,"Name","Wave","x","y"
,"string","int","int","int"
,"Bomb",,1,
,"Fat",,1,1
,"Bomb",,1,2
,"Basic_Baby",,1,3
,"Fat",,2,
,"Fat",,2,2
,"Basic_Baby",,2,3
,"Bomb",,3,1
,"Basic_Baby",,3,3
,"Basic_Baby",1,,
,"Basic_Baby",1,,1
,"Basic_Baby",1,,3
,"Basic_Baby",1,,2
,"Basic_Baby",1,1,
,"Basic_Baby",1,1,1
,"Basic_Baby",1,1,2
,"Basic_Baby",1,1,3
,"Bomb",1,2,1
,"Bomb",1,2,2
,"Basic_Baby",1,2,3
,"Basic_Baby",1,2,4
,"Fat",1,2,5
,"Bomb",1,3,1
,"Bomb",1,3,2
,"Basic_Baby",1,3,3
,"Basic_Baby",1,3,4
,"Bomb",2,,2
,"Splitter_(Mid)",2,,3
,"Splitter_(Mid)",2,1,2
,"Basic_Baby",2,1,4
,"Basic_Baby",2,1,3
,"Bomb",2,1,1
,"Splitter_(Mid)",2,2,3
,"Basic_Baby",2,2,4
,"Bomb",2,2,2
,"Splitter_(Mid)",2,3,2
,"Basic_Baby",2,3,3
,"Basic_Baby",2,3,4
,"Bomb",2,3,1
,"Bomb",2,4,2
,"Splitter_(Mid)",2,4,3
