"Monsters",,,,
,"Name","Wave","x","y"
,"string","int","int","int"
,"Basic_Baby",,,3
,"Basic_Baby",,,4
,"Barrel",,,2
,"Wall",,1,1
,"Pinkhead_Child_(LeftRight)",,1,
,"Basic_Baby",,1,4
,"Wall",,2,3
,"Pinkhead_Child_(RightLeft)",,2,2
,"Barrel",,2,4
,"Wall",,3,1
,"Pinkhead_Child_(RightLeft)",,3,
,"Basic_Baby",,3,4
,"Splitter_(Mid)",,3,5
,"Basic_Baby",,4,3
,"Basic_Baby",,4,4
,"Barrel",,4,2
,"Splitter_(Mid)",1,,2
,"Firehead_Child",1,,4
,"Firehead_Child",1,1,3
,"Splitter_(Mid)",1,2,
,"Firehead_Child",1,2,2
,"Basic_Baby",1,2,4
,"Firehead_Child",1,3,3
,"Splitter_(Mid)",1,4,2
,"Firehead_Child",1,4,4
