"Monsters",,,,
,"Name","Wave","x","y"
,"string","int","int","int"
,"Fat",,,2
,"Wall",,,3
,"Wall",,,4
,"PinkHead_(LeftRight)",,1,
,"Healer",,1,3
,"Spawner_Adult_(Moving)_1",,1,4
,"Barrel",,1,1
,"Healer",,2,3
,"Spawner_Adult_(Moving)_2",,2,4
,"Fat",,3,2
,"PinkHead_(RightLeft)",,3,
,"Healer",,3,3
,"Spawner_Adult_(Moving)_3",,3,4
,"Barrel",,3,1
,"Wall",,4,3
,"Wall",,4,4
,"Spawner_Adult_(Moving)_2",1,,4
,"Spawner_Adult_(Moving)_1",1,,3
,"Healer",1,,2
,"Wall",1,1,5
,"Spawner_Adult_(Moving)_3",1,1,3
,"Firehead_Child",1,1,4
,"Healer",1,1,2
,"Spawner_Adult_(Moving)_1",1,2,3
,"Healer",1,2,2
,"Wall",1,3,5
,"Spawner_Adult_(Moving)_3",1,3,3
,"Firehead_Child",1,3,4
,"Healer",1,3,2
,"Spawner_Adult_(Moving)_2",1,4,4
,"Spawner_Adult_(Moving)_1",1,4,3
,"Healer",1,4,2
