"Monsters",,,,
,"Name","Wave","x","y"
,"string","int","int","int"
,"Basic_Teen",,,2
,"Basic_Teen",,,3
,"Basic_Baby",,,4
,"Pinkhead_Child_(LeftRight)",,1,1
,"Basic_Teen",,1,3
,"Basic_Teen",,1,4
,"Basic_Baby",,1,5
,"Pinkhead_Child_(RightLeft)",,1,2
,"Hypno",,2,1
,"Basic_Teen",,2,4
,"Basic_Teen",,2,5
,"Basic_Baby",,2,6
,"Pinkhead_Child_(RightLeft)",,3,1
,"Basic_Teen",,3,3
,"Basic_Teen",,3,4
,"Basic_Baby",,3,5
,"Pinkhead_Child_(LeftRight)",,3,2
,"Basic_Teen",,4,2
,"Basic_Teen",,4,3
,"Basic_Baby",,4,4
,"Bomb",1,,1
,"Basic_Baby",1,,4
,"Basic_Baby",1,,5
,"Basic_Baby",1,1,6
,"Bomb",1,1,3
,"Basic_Baby",1,1,5
,"Basic_Baby",1,2,6
,"Hypno",1,2,1
,"FireHead_Adult",1,2,4
,"Basic_Baby",1,2,5
,"Basic_Baby",1,3,6
,"Bomb",1,3,3
,"Basic_Baby",1,3,5
,"Bomb",1,4,1
,"Basic_Baby",1,4,4
,"Basic_Baby",1,4,5
