"Monsters",,,,
,"Name","Wave","x","y"
,"string","int","int","int"
,"FireHead_Adult",,,
,"Wall",,,7
,"Barrel",,,6
,"Wall",,,5
,"Barrel",,,3
,"Basic_Adult",,,4
,"Wall",,,2
,"FireHead_Adult",,1,
,"Wall",,1,7
,"Wall",,1,5
,"Barrel",,1,6
,"Barrel",,1,3
,"Wall",,1,4
,"Wall",,1,2
,"FireHead_Adult",,2,
,"Wall",,2,7
,"Wall",,2,5
,"Barrel",,2,6
,"Barrel",,2,3
,"Wall",,2,4
,"Wall",,2,2
,"FireHead_Adult",,3,
,"Wall",,3,7
,"Wall",,3,5
,"Barrel",,3,6
,"Barrel",,3,3
,"Wall",,3,4
,"Wall",,3,2
,"FireHead_Adult",,4,
,"Wall",,4,5
,"Barrel",,4,3
,"Barrel",,4,6
,"Wall",,4,4
,"Basic_Adult",,4,7
,"Wall",,4,2
