"Monsters",,,,
,"Name","Wave","x","y"
,"string","int","int","int"
,"Spawner_Adult_(Moving)",,,5
,"Basic_Baby",,,6
,"FireHead_Adult",,,3
,"Wall",,1,4
,"FireHead_Adult",,1,3
,"Basic_Baby",,1,6
,"Barrel",,2,3
,"Spawner_Child_Rabbit",,2,4
,"Spawner_Child_Rabbit",,2,5
,"Basic_Baby",,2,6
,"FireHead_Adult",,3,1
,"Wall",,3,2
,"Hypno",,3,3
,"Spawner_Child_Rabbit",,3,4
,"Spawner_Child_Rabbit",,3,5
,"Spawner_Child_Rabbit",,3,6
,"Spawner_Child_Rabbit",,4,3
,"Spawner_Child_Rabbit",,4,4
,"Spawner_Child_Rabbit",,4,5
,"Spawner_Child_Rabbit",,4,2
,"FireHead_Adult",,4,1
,"Bomb",1,,
,"Fat",1,,4
,"Spawner_Child_Rabbit",1,,5
,"FireHead_Adult",1,,3
,"Bomb",1,1,1
,"Spawner_Child_Rabbit",1,1,5
,"Spawner_Adult_(Moving)",1,2,2
,"FireHead_Adult",1,2,
,"Fat",1,3,4
,"Bomb",1,3,1
,"Spawner_Child_Rabbit",1,3,5
,"Bomb",1,4,
,"Spawner_Child_Rabbit",1,4,5
,"FireHead_Adult",1,4,3
