"Monsters",,,,
,"Name","Wave","x","y"
,"string","int","int","int"
,"Wall",,,5
,"Barrel",,,6
,"Wall",,,7
,"Wall",,,4
,"Barrel",,,
,"Barrel",,,3
,"Wall",,1,2
,"Spawner_Adult_(Moving)_3",,1,
,"Spawner_Adult_(Moving)_3",,1,3
,"FireHead_Adult",,1,6
,"Barrel",,1,5
,"Basic_Adult",,1,7
,"Wall",,2,7
,"Wall",,2,5
,"Wall",,2,2
,"FireHead_Adult",,2,6
,"Wall",,2,
,"Barrel",,3,3
,"Basic_Baby",,3,4
,"Basic_Baby",,3,5
,"Basic_Baby",,3,7
,"Barrel",,3,
,"Barrel",,3,6
,"Wall",,4,6
,"Wall",,4,7
,"Hypno",,4,3
,"Wall",,4,5
,"Wall",,4,4
,"Wall",,4,
,"Wall",,4,1
,"Wall",,4,2
,"Hypno",1,,
,"Barrel",1,,1
,"Healer",1,,2
,"Healer",1,,3
,"FireHead_Adult",1,,4
,"Splitter_(Mid)",1,,5
,"Barrel",1,1,
,"Wall",1,1,2
,"Healer",1,1,3
,"FireHead_Adult",1,1,4
,"Splitter_(Mid)",1,1,6
,"Firehead_Child",1,2,
,"Barrel",1,2,1
,"Spawner_Adult_(Moving)_3",1,2,2
,"Wall",1,2,4
,"Wall",1,2,5
,"Firehead_Child",1,3,
,"Firehead_Child",1,3,1
,"Spawner_Adult_(Moving)_3",1,3,2
,"Wall",1,3,4
,"Wall",1,3,5
,"Wall",1,4,2
,"Barrel",1,4,3
,"Wall",1,4,4
