"Monsters",,,,
,"Name","Wave","x","y"
,"string","int","int","int"
,"Basic_Teen",,,2
,"Basic_Teen",,1,3
,"Basic_Teen",,2,4
,"Hypno_firstAppearance",,2,2
,"Basic_Teen",,3,3
,"Basic_Teen",,4,2
,"Wall",1,,3
,"Barrel",1,,4
,"Basic_Baby",1,,5
,"Basic_Baby",1,,6
,"Basic_Baby",1,,7
,"Firehead_Child",1,,2
,"Wall",1,1,3
,"Barrel",1,1,4
,"Wall",1,1,5
,"Firehead_Child",1,1,2
,"Barrel",1,2,4
,"Wall",1,2,3
,"Wall",1,2,5
,"Firehead_Child",1,2,2
,"Wall",1,3,3
,"Wall",1,3,5
,"Hypno",1,3,2
,"Barrel",1,3,4
,"Wall",1,4,5
,"Firehead_Child",1,4,2
