"Monsters",,,,
,"Name","Wave","x","y"
,"string","int","int","int"
,"Barrel",,,1
,"PinkHead_(RightLeft)",,,
,"Basic_Adult",,,2
,"Basic_Adult",,,3
,"Barrel",,1,3
,"Basic_Adult",,1,4
,"Wall",,2,3
,"PinkHead_(RightLeft)",,2,2
,"Basic_Adult",,2,4
,"Barrel",,3,1
,"Basic_Adult",,3,3
,"Barrel",,4,2
,"Basic_Adult",,4,3
,"FireHead_Adult",1,,2
,"Barrel",1,,1
,"Basic_Teen",1,,3
,"Basic_Teen",1,,4
,"Basic_Teen",1,,5
,"Wall",1,1,4
,"FireHead_Adult",1,1,2
,"Basic_Baby",1,1,5
,"Barrel",1,1,1
,"PinkHead_(LeftRight)",1,1,3
,"Barrel",1,2,1
,"Wall",1,2,4
,"FireHead_Adult",1,2,2
,"Basic_Baby",1,2,5
,"PinkHead_(RightLeft)",1,2,3
,"Barrel",1,3,1
,"Basic_Baby",1,3,2
,"Basic_Baby",1,3,3
,"Basic_Baby",1,3,4
,"Basic_Baby",1,3,5
,"Barrel",1,4,1
,"Wall",1,4,4
,"Basic_Baby",1,4,5
,"Barrel",2,,1
,"Basic_Adult",2,,2
,"Basic_Adult",2,,3
,"Barrel",2,1,1
,"Wall",2,1,3
,"FireHead_Adult",2,1,2
,"Wall",2,2,2
,"Wall",2,2,1
,"Wall",2,2,3
,"Barrel",2,3,1
,"Basic_Adult",2,3,2
,"Basic_Adult",2,3,3
,"Fat",2,3,5
,"Basic_Adult",2,3,4
,"Wall",2,4,2
,"Basic_Adult",2,4,3
,"Hypno",2,4,1
,"Basic_Adult",2,4,4
