"Monsters",,,,
,"Name","Wave","x","y"
,"string","int","int","int"
,"Barrel",,,1
,"Wall",,,2
,"Wall",,,3
,"Wall",,,4
,"Basic_Adult",,,5
,"Barrel",,1,1
,"Wall",,1,3
,"Wall",,1,4
,"Pinkhead_Child_(RightLeft)",,1,2
,"Basic_Adult",,1,5
,"Barrel",,2,1
,"Wall",,2,4
,"Pinkhead_Child_(RightLeft)",,2,2
,"Pinkhead_Child_(RightLeft)",,2,3
,"Basic_Adult",,2,5
,"Barrel",,3,1
,"Basic_Adult",,3,5
,"Basic_Adult",,3,2
,"Basic_Adult",,3,3
,"Basic_Adult",,3,4
,"Barrel",,4,1
,"Wall",,4,4
,"Wall",,4,3
,"Wall",,4,2
,"Basic_Adult",,4,5
,"Barrel",1,,1
,"Firehead_Child",1,,2
,"FireHead_Adult",1,,
,"Barrel",1,1,1
,"Wall",1,1,3
,"Firehead_Child",1,1,2
,"FireHead_Adult",1,1,
,"Wall",1,2,2
,"Wall",1,2,1
,"FireHead_Adult",1,2,
,"Barrel",1,3,1
,"Basic_Adult",1,3,2
,"Basic_Adult",1,3,3
,"Wall",1,3,
,"Fat",1,3,4
,"Hypno",1,4,1
,"Basic_Adult",1,4,2
,"Basic_Adult",1,4,3
,"Wall",1,4,
