"Monsters",,,,
,"Name","Wave","x","y"
,"string","int","int","int"
,"Bomb",,,1
,"Bomb",,,
,"Wall",,,2
,"Barrel",,,3
,"Wall",,,4
,"Barrel",,,5
,"Spawner_Child_Rabbit",,,6
,"Bomb",,1,1
,"Bomb",,1,
,"Spawner_Child_Rabbit",,1,6
,"Wall",,1,2
,"Wall",,1,3
,"FireHead_Adult",,1,4
,"Hypno",,2,
,"Bomb",,2,1
,"Bomb",,2,2
,"Wall",,2,3
,"Spawner_Adult_(Moving)",,2,5
,"FireHead_Adult",,2,4
,"Spawner_Child_Rabbit",,2,6
,"Bomb",,3,1
,"Bomb",,3,
,"Spawner_Child_Rabbit",,3,6
,"Wall",,3,2
,"Wall",,3,3
,"FireHead_Adult",,3,4
,"Bomb",,4,1
,"Bomb",,4,
,"Wall",,4,2
,"Barrel",,4,3
,"Wall",,4,4
,"Barrel",,4,5
,"Spawner_Child_Rabbit",,4,6
