"Monsters",,,,
,"Name","Wave","x","y"
,"string","int","int","int"
,"Bomb",,,
,"Bomb",,,2
,"Basic_Teen",,1,5
,"Firehead_Child",,1,4
,"FireHead_Adult",,1,3
,"Hypno",,2,1
,"Basic_Teen",,2,5
,"Firehead_Child",,2,4
,"FireHead_Adult",,2,3
,"Basic_Teen",,3,5
,"Firehead_Child",,3,4
,"FireHead_Adult",,3,3
,"Bomb",,4,
,"Bomb",,4,2
,"Hypno",1,,
,"Wall",1,,1
,"Splitter_(Mid)",1,,4
,"Splitter_(Mid)",1,,6
,"Firehead_Child",1,,2
,"Barrel",1,1,
,"Basic_Teen",1,1,2
,"Basic_Teen",1,1,3
,"FireHead_Adult",1,1,1
,"Basic_Teen",1,2,3
,"FireHead_Adult",1,2,2
,"Splitter_(Mid)",1,2,5
,"Barrel",1,3,2
,"Basic_Baby",1,3,4
,"Basic_Baby",1,3,5
,"Basic_Baby",1,3,6
,"FireHead_Adult",1,3,3
,"Basic_Baby",1,4,5
,"Basic_Baby",1,4,6
,"FireHead_Adult",1,4,4
,"Firehead_Child",1,4,
