"Monsters",,,,
,"Name","Wave","x","y"
,"string","int","int","int"
,"Wall",,,7
,"Splitter_(Large)",,1,2
,"Splitter_(Large)",,1,5
,"Bomb",,1,4
,"Spawner_Adult_(Moving)_2",,1,
,"Splitter_(Large)",,3,4
,"Splitter_(Large)",,3,1
,"Bomb",,3,3
,"Splitter_(Large)",,3,6
,"Spawner_Adult_(Moving)_2",,4,
,"Wall",,4,7
,"Firehead_Child",1,,2
,"Firehead_Child",1,,4
,"FireHead_Adult",1,,6
,"Wall",1,,3
,"Wall",1,,5
,"Basic_Adult",1,,1
,"Spawner_Adult_(Moving)_3",1,,
,"Firehead_Child",1,1,3
,"Firehead_Child",1,1,5
,"Bomb",1,1,2
,"Bomb",1,1,4
,"Basic_Adult",1,1,1
,"Firehead_Child",1,2,2
,"Firehead_Child",1,2,4
,"FireHead_Adult",1,2,6
,"Wall",1,2,3
,"Wall",1,2,5
,"Basic_Adult",1,2,1
,"Firehead_Child",1,3,3
,"Firehead_Child",1,3,5
,"Bomb",1,3,2
,"Bomb",1,3,4
,"Spawner_Adult_(Moving)_3",1,3,
,"Basic_Adult",1,3,1
,"Firehead_Child",1,4,2
,"Firehead_Child",1,4,4
,"FireHead_Adult",1,4,6
,"Wall",1,4,3
,"Wall",1,4,5
,"Basic_Adult",1,4,1
