"Monsters",,,,
,"Name","Wave","x","y"
,"string","int","int","int"
,"Barrel",,,
,"Healer",,,1
,"Healer",,,2
,"Healer",,,3
,"Healer",,,4
,"Healer",,,5
,"Healer",,,6
,"Barrel",,1,
,"Barrel",,1,5
,"Barrel",,1,2
,"Wall",,1,6
,"Wall",,1,7
,"Barrel",,1,4
,"Barrel",,1,3
,"FireHead_Adult",,1,1
,"Barrel",,2,
,"Barrel",,2,2
,"Barrel",,2,5
,"Wall",,2,6
,"Wall",,2,7
,"Spawner_Adult_(Moving)_3",,2,3
,"Barrel",,2,1
,"Barrel",,3,
,"Barrel",,3,2
,"Barrel",,3,5
,"Wall",,3,6
,"Wall",,3,7
,"Spawner_Adult_(Moving)_3",,3,3
,"Barrel",,3,1
,"Barrel",,4,
,"Barrel",,4,2
,"Barrel",,4,3
,"Barrel",,4,4
,"Barrel",,4,5
,"Wall",,4,7
,"Wall",,4,6
,"FireHead_Adult",,4,1
,"Wall",1,,
,"Barrel",1,,1
,"Splitter_(Mid)",1,,2
,"Barrel",1,,4
,"Splitter_(Small)",1,,6
,"Splitter_(Large)",1,1,
,"Wall",1,1,4
,"Firehead_Child",1,1,3
,"Wall",1,2,
,"Splitter_(Mid)",1,2,3
,"Wall",1,2,4
,"Splitter_(Small)",1,2,7
,"Firehead_Child",1,2,1
,"Wall",1,3,
,"Wall",1,3,4
,"Firehead_Child",1,3,2
,"Wall",1,4,
,"Barrel",1,4,1
,"Splitter_(Mid)",1,4,3
,"Barrel",1,4,4
