"Monsters",,,,
,"Name","Wave","x","y"
,"string","int","int","int"
,"Splitter_(Small)",,,2
,"Pinkhead_Child_(RightLeft)",,,3
,"Splitter_(Small)",,,4
,"Pinkhead_Child_(LeftRight)",,1,
,"Splitter_(Large)",,1,1
,"Splitter_(Small)",,1,4
,"Splitter_(Mid)",,1,5
,"Splitter_(Small)",,2,2
,"Pinkhead_Child_(LeftRight)",,2,3
,"Splitter_(Small)",,2,4
,"Pinkhead_Child_(RightLeft)",,3,
,"Splitter_(Large)",,3,1
,"Splitter_(Small)",,3,4
,"Splitter_(Mid)",,3,5
,"Splitter_(Small)",,4,2
,"Pinkhead_Child_(LeftRight)",,4,3
,"Splitter_(Small)",,4,4
