"Monsters",,,,
,"Name","Wave","x","y"
,"string","int","int","int"
,"FireHead_Adult",,,2
,"Wall",,,3
,"Barrel",,1,2
,"Wall",,1,3
,"FireHead_Adult",,1,4
,"FireHead_Adult",,2,2
,"Wall",,2,3
,"Barrel",,2,4
,"FireHead_Adult",,2,5
,"Barrel",,3,2
,"Wall",,3,3
,"FireHead_Adult",,3,4
,"FireHead_Adult",,4,2
,"Wall",,4,3
,"Barrel",1,,5
,"Wall",1,,4
,"PinkHead_(RightLeft)",1,,3
,"Wall",1,1,4
,"Barrel",1,1,3
,"Wall",1,1,2
,"PinkHead_(RightLeft)",1,1,1
,"FireHead_Adult",1,1,5
,"FireHead_Adult",1,2,
,"Barrel",1,2,1
,"Wall",1,2,2
,"FireHead_Adult",1,2,3
,"Wall",1,2,4
,"Barrel",1,2,5
,"Wall",1,3,4
,"Wall",1,3,2
,"Barrel",1,3,3
,"PinkHead_(RightLeft)",1,3,1
,"FireHead_Adult",1,3,5
,"Barrel",1,4,5
,"Wall",1,4,4
,"PinkHead_(RightLeft)",1,4,3
