"Monsters",,,,
,"Name","Wave","x","y"
,"string","int","int","int"
,"Wall",,,7
,"Barrel",,,
,"Barrel",,,1
,"Wall",,,6
,"Firehead_Child",,,2
,"Firehead_Child",,,8
,"Firehead_Child",,,3
,"Firehead_Child",,,5
,"Barrel",,,4
,"Barrel",,1,
,"Basic_Baby",,1,2
,"Basic_Baby",,1,1
,"FireHead_Adult",,1,7
,"Basic_Baby",,1,6
,"Barrel",,1,4
,"Basic_Baby",,1,3
,"Basic_Baby",,1,5
,"Firehead_Child",,2,8
,"Wall",,2,6
,"Wall",,2,7
,"Firehead_Child",,2,4
,"FireHead_Adult",,2,1
,"Barrel",,3,
,"Basic_Teen",,3,1
,"Basic_Teen",,3,5
,"FireHead_Adult",,3,7
,"Basic_Teen",,3,2
,"Barrel",,3,4
,"Basic_Teen",,3,3
,"Basic_Teen",,3,6
,"Wall",,4,7
,"Barrel",,4,
,"Wall",,4,6
,"Firehead_Child",,4,8
,"Barrel",,4,1
,"Barrel",,4,4
,"Firehead_Child",,4,3
,"Firehead_Child",,4,5
,"Hypno",,4,2
