"Monsters",,,,
,"Name","Wave","x","y"
,"string","int","int","int"
,"Barrel",,,
,"Barrel",,,1
,"Barrel",,,2
,"Barrel",,,3
,"Barrel",,,4
,"Fat",,,7
,"Fat",,,6
,"Basic_Baby",,,5
,"Barrel",,1,
,"Firehead_Child",,1,1
,"Firehead_Child",,1,2
,"Firehead_Child",,1,3
,"Firehead_Child",,1,4
,"Basic_Baby",,1,5
,"Barrel",,2,
,"Barrel",,2,3
,"Firehead_Child",,2,1
,"Firehead_Child",,2,2
,"Firehead_Child",,2,4
,"Basic_Baby",,2,5
,"Basic_Baby",,2,6
,"Basic_Baby",,2,7
,"Barrel",,3,
,"Firehead_Child",,3,1
,"Firehead_Child",,3,2
,"Firehead_Child",,3,3
,"Firehead_Child",,3,4
,"Fat",,3,7
,"Fat",,3,6
,"Basic_Baby",,3,5
,"Barrel",,4,
,"Barrel",,4,1
,"Barrel",,4,2
,"Barrel",,4,3
,"Barrel",,4,4
,"Basic_Baby",,4,5
,"Firehead_Child",1,,3
,"FireHead_Adult",1,,2
,"Bomb",1,,
,"Bomb",1,,1
,"Spawner_Adult_(Static)",1,1,4
,"Spawner_Adult_(Static)",1,1,6
,"Firehead_Child",1,1,3
,"FireHead_Adult",1,1,2
,"Bomb",1,1,
,"Bomb",1,1,1
,"Firehead_Child",1,2,3
,"FireHead_Adult",1,2,2
,"Bomb",1,2,
,"Bomb",1,2,1
,"Spawner_Adult_(Static)",1,3,5
,"Spawner_Adult_(Static)",1,3,7
,"Firehead_Child",1,3,3
,"FireHead_Adult",1,3,2
,"Bomb",1,3,
,"Bomb",1,3,1
,"Firehead_Child",1,4,3
,"FireHead_Adult",1,4,2
,"Bomb",1,4,
,"Bomb",1,4,1
