"Monsters",,,,
,"Name","Wave","x","y"
,"string","int","int","int"
,"Wall",,,3
,"Barrel",,,5
,"Fat",,,6
,"Wall",,1,7
,"Wall",,1,3
,"Barrel",,1,4
,"Pinkhead_Child_(RightLeft)",,1,
,"Firehead_Child",,1,2
,"Barrel",,1,5
,"Wall",,2,7
,"Wall",,2,3
,"Barrel",,2,6
,"Wall",,3,7
,"Pinkhead_Child_(RightLeft)",,3,
,"Barrel",,3,3
,"Barrel",,3,4
,"Firehead_Child",,3,5
,"Wall",,4,7
,"Barrel",,4,5
,"Barrel",,4,6
,"Barrel",1,,4
,"Fat",1,,2
,"Basic_Baby",1,,
,"Basic_Baby",1,,1
,"Basic_Baby",1,1,
,"Basic_Baby",1,1,1
,"Splitter_(Mid)",1,1,3
,"Basic_Baby",1,2,2
,"Basic_Baby",1,2,3
,"Basic_Baby",1,2,4
,"Basic_Baby",1,2,
,"Bomb",1,2,1
,"Fat",1,3,2
,"Basic_Baby",1,3,
,"Basic_Baby",1,3,1
,"Splitter_(Mid)",1,3,4
,"Basic_Baby",1,4,
,"Basic_Baby",1,4,1
,"Barrel",1,4,5
,"Fat",2,,2
,"Barrel",2,,3
,"Bomb",2,,1
,"Fat",2,,4
,"Bomb",2,2,1
,"Basic_Baby",2,2,2
,"Basic_Baby",2,2,4
,"Fat",2,3,2
,"Fat",2,3,4
,"Barrel",2,4,3
,"Bomb",2,4,1
