"Monsters",,,,
,"Name","Wave","x","y"
,"string","int","int","int"
,"Bomb",,,
,"Basic_Baby",,,1
,"Basic_Baby",,,2
,"Bomb",,,3
,"Basic_Baby",,,4
,"Basic_Baby",,,5
,"Wall",,1,5
,"Pinkhead_Child_(RightLeft)",,1,4
,"Wall",,2,3
,"Pinkhead_Child_(RightLeft)",,2,2
,"Wall",,3,1
,"Pinkhead_Child_(RightLeft)",,3,
,"Basic_Baby",,3,2
,"Basic_Baby",,3,3
,"Barrel",,4,1
,"Basic_Baby",,4,2
,"Basic_Baby",,4,3
,"Basic_Baby",,4,4
,"Splitter_(Mid)",,4,5
,"Barrel",1,,4
,"Wall",1,1,2
,"Pinkhead_Child_(LeftRight)",1,1,1
,"Splitter_(Mid)",1,1,3
,"Basic_Baby",1,1,5
,"Basic_Baby",1,1,6
,"Barrel",1,2,2
,"Barrel",1,2,4
,"Spawner_Adult_(Static)",1,2,5
,"Basic_Baby",1,2,6
,"Wall",1,3,2
,"Splitter_(Mid)",1,3,3
,"Pinkhead_Child_(RightLeft)",1,3,1
,"Basic_Baby",1,3,6
,"Basic_Baby",1,3,5
,"Barrel",1,4,4
