"Monsters",,,,
,"Name","Wave","x","y"
,"string","int","int","int"
,"Firehead_Child",,,3
,"Firehead_Child",,,4
,"Fat",,,5
,"Healer",,1,2
,"Firehead_Child",,1,3
,"Bomb",,1,4
,"Firehead_Child",,2,1
,"Bomb",,2,2
,"Basic_Teen",,2,3
,"Basic_Teen",,2,5
,"Basic_Teen",,2,4
,"Healer",,3,2
,"Firehead_Child",,3,3
,"Bomb",,3,4
,"Fat",,3,5
,"Firehead_Child",,4,3
,"Firehead_Child",,4,4
,"Wall",1,,4
,"Firehead_Child",1,,
,"Firehead_Child",1,,1
,"Barrel",1,1,
,"Healer",1,1,3
,"Healer",1,1,1
,"Basic_Teen",1,1,2
,"Basic_Teen",1,1,4
,"Barrel",1,2,5
,"Wall",1,2,6
,"Firehead_Child",1,2,
,"Barrel",1,3,
,"Healer",1,3,1
,"Basic_Teen",1,3,2
,"Basic_Teen",1,3,4
,"Healer",1,3,3
,"Wall",1,4,4
,"Firehead_Child",1,4,
,"Firehead_Child",1,4,1
