"Monsters",,,,
,"Name","Wave","x","y"
,"string","int","int","int"
,"Basic_Baby",,1,3
,"Barrel",,2,3
,"Basic_Baby",,2,
,"Splitter_(Mid)",,2,2
,"Basic_Baby",,3,3
,"Barrel",1,1,2
,"Wall",1,1,1
,"Splitter_(Mid)",1,2,1
,"Barrel",1,3,5
,"Splitter_(Mid)",1,3,4
,"Wall",1,4,4
,"Basic_Baby",2,,4
,"Wall",2,,5
,"Barrel",2,1,4
,"Firehead_Child",2,1,3
,"Basic_Baby",2,2,4
,"EnergyDrop",2,2,3
,"Barrel",2,3,4
,"Firehead_Child",2,3,3
,"Basic_Baby",2,4,4
,"Wall",2,4,5
,"Wall",3,,5
,"Basic_Baby",3,1,1
,"Wall",3,1,5
,"Basic_Baby",3,2,1
,"Barrel",3,2,4
,"Splitter_(Mid)",3,2,3
,"Basic_Baby",3,3,1
,"Wall",3,3,5
,"Wall",3,4,5
