"Monsters",,,,
,"Name","Wave","x","y"
,"string","int","int","int"
,"Splitter_(Small)",,1,7
,"Splitter_(Large)",,1,3
,"Splitter_(Mid)",,2,4
,"Splitter_(Large)",,2,
,"Splitter_(Small)",,2,2
,"Splitter_(Mid)",,3,5
,"Splitter_(Large)",,3,1
,"Fat",1,,6
,"Basic_Adult",1,,5
,"Pinkhead_Child_(LeftRight)",1,1,1
,"Pinkhead_Child_(RightLeft)",1,1,3
,"Wall",1,1,2
,"Wall",1,1,4
,"Healer",1,1,5
,"Basic_Adult",1,2,6
,"Basic_Adult",1,2,7
,"Barrel",1,2,5
,"Pinkhead_Child_(LeftRight)",1,3,1
,"Pinkhead_Child_(RightLeft)",1,3,3
,"Wall",1,3,2
,"Wall",1,3,4
,"Fat",1,3,6
,"Healer",1,3,5
,"Basic_Adult",1,4,5
