"Monsters",,,,
,"Name","Wave","x","y"
,"string","int","int","int"
,"Basic_Adult",,,4
,"Basic_Adult",,,2
,"Healer",,,1
,"Basic_Baby",,,3
,"Basic_Adult",,1,5
,"Basic_Adult",,1,3
,"Healer",,1,2
,"Basic_Baby",,1,4
,"Spawner_Adult_(Moving)",,1,1
,"Basic_Adult",,2,6
,"Basic_Adult",,2,4
,"Healer",,2,3
,"Basic_Baby",,2,5
,"Hypno",,2,
,"Hypno_firstAppearance",,2,2
,"Basic_Adult",,3,5
,"Basic_Adult",,3,3
,"Healer",,3,2
,"Basic_Baby",,3,4
,"Spawner_Adult_(Moving)",,3,1
,"Basic_Adult",,4,2
,"Basic_Adult",,4,4
,"Healer",,4,1
,"Basic_Baby",,4,3
