"Monsters",,,,
,"Name","Wave","x","y"
,"string","int","int","int"
,"Splitter_(Large)",,1,
,"Basic_Teen",,1,2
,"Basic_Teen",,1,3
,"Basic_Teen",,1,1
,"Basic_Teen",,1,4
,"Wall",,2,1
,"Wall",,2,2
,"Wall",,2,
,"Barrel",,2,3
,"Spawner_Adult_(Static)",,2,4
,"Splitter_(Large)",,3,
,"Basic_Teen",,3,2
,"Basic_Teen",,3,3
,"Basic_Teen",,3,1
,"Basic_Teen",,3,4
,"Spawner_Adult_(Static)",1,,5
,"Basic_Baby",1,,7
,"Basic_Baby",1,,6
,"Barrel",1,,2
,"Barrel",1,,3
,"Barrel",1,,4
,"Firehead_Child",1,,1
,"Wall",1,1,2
,"Barrel",1,1,1
,"Wall",1,1,4
,"Firehead_Child",1,1,3
,"Spawner_Adult_(Static)",1,2,5
,"Basic_Baby",1,2,6
,"Firehead_Child",1,2,3
,"Wall",1,2,2
,"Barrel",1,2,1
,"Wall",1,3,2
,"Barrel",1,3,1
,"Wall",1,3,4
,"Firehead_Child",1,3,3
,"Basic_Baby",1,4,6
,"Spawner_Adult_(Static)",1,4,5
,"Basic_Baby",1,4,7
,"Barrel",1,4,2
,"Barrel",1,4,3
,"Barrel",1,4,4
,"Firehead_Child",1,4,1
