"Monsters",,,,
,"Name","Wave","x","y"
,"string","int","int","int"
,"Basic_Adult",,,3
,"Basic_Adult",,,4
,"Basic_Adult",,,5
,"Basic_Adult",,,6
,"Basic_Adult",,,2
,"Bomb",,,1
,"Wall",,,
,"Wall",,1,
,"Wall",,1,6
,"Bomb",,1,5
,"Spawner_Adult_(Moving)_3",,1,1
,"Wall",,2,
,"Wall",,2,6
,"Bomb",,2,5
,"Wall",,3,
,"Wall",,3,6
,"Bomb",,3,5
,"Spawner_Adult_(Moving)_3",,3,3
,"Wall",,4,
,"Wall",,4,6
,"Bomb",,4,5
,"Spawner_Adult_(Moving)_1",1,,2
,"Fat",1,,5
,"Healer",1,,4
,"Spawner_Adult_(Moving)_1",1,1,3
,"Pinkhead_Child_(LeftRight)",1,1,1
,"Spawner_Adult_(Moving)_3",1,2,4
,"Pinkhead_Child_(RightLeft)",1,3,1
,"Spawner_Adult_(Moving)_1",1,3,3
,"Fat",1,3,5
,"Spawner_Adult_(Moving)_2",1,4,2
,"Healer",1,4,4
