"Monsters",,,,
,"Name","Wave","x","y"
,"string","int","int","int"
,"Basic_Baby",,,
,"Basic_Baby",,,1
,"Basic_Baby",,,2
,"Basic_Baby",,,3
,"Basic_Baby",,,4
,"Bomb",,1,3
,"Basic_Baby",,1,
,"Basic_Baby",,1,2
,"Basic_Baby",,1,4
,"Bomb",,1,1
,"Basic_Baby",,2,
,"Basic_Baby",,2,1
,"Basic_Baby",,2,2
,"Basic_Baby",,2,3
,"Basic_Baby",,2,4
,"Bomb",,3,1
,"Basic_Baby",,3,
,"Basic_Baby",,3,2
,"Bomb",,3,3
,"Basic_Baby",,3,4
,"Basic_Baby",,4,
,"Basic_Baby",,4,1
,"Basic_Baby",,4,2
,"Basic_Baby",,4,3
,"Basic_Baby",,4,4
,"Wall",1,,1
,"Bomb",1,,2
,"Basic_Baby",1,1,2
,"Basic_Baby",1,1,3
,"Basic_Baby",1,1,4
,"Splitter_(Mid)",1,1,1
,"Wall",1,2,1
,"Bomb",1,2,2
,"Basic_Baby",1,3,2
,"Basic_Baby",1,3,3
,"Basic_Baby",1,3,4
,"Splitter_(Mid)",1,3,1
,"Wall",1,4,1
,"Bomb",1,4,2
