"Monsters",,,,
,"Name","Wave","x","y"
,"string","int","int","int"
,"Healer",,,6
,"Spawner_Adult_(Moving)",,,5
,"Healer",,,4
,"Wall",,,2
,"FireHead_Adult",,,7
,"FireHead_Adult",,,3
,"Healer",,1,5
,"FireHead_Adult",,1,6
,"FireHead_Adult",,1,4
,"Barrel",,1,3
,"Wall",,1,2
,"Wall",,2,4
,"Barrel",,2,3
,"Wall",,2,2
,"FireHead_Adult",,2,1
,"Basic_Adult",,3,5
,"Wall",,3,4
,"Wall",,3,3
,"Wall",,3,2
,"FireHead_Adult",,3,1
,"Basic_Adult",,4,6
,"Spawner_Adult_(Moving)",,4,5
,"Basic_Adult",,4,4
,"Wall",,4,3
,"Wall",,4,2
,"Basic_Adult",1,,6
,"Spawner_Adult_(Moving)",1,,5
,"Healer",1,,4
,"Wall",1,,3
,"FireHead_Adult",1,,2
,"Basic_Adult",1,1,6
,"Healer",1,1,5
,"Healer",1,1,4
,"Barrel",1,1,3
,"Wall",1,1,2
,"Basic_Adult",1,2,6
,"Healer",1,2,5
,"Spawner_Adult_(Moving)",1,2,4
,"Healer",1,2,3
,"Wall",1,2,1
,"Barrel",1,2,2
,"Basic_Adult",1,3,6
,"Healer",1,3,5
,"Healer",1,3,4
,"Barrel",1,3,3
,"Wall",1,3,2
,"Basic_Adult",1,4,6
,"Spawner_Adult_(Moving)",1,4,5
,"Healer",1,4,4
,"Wall",1,4,3
,"FireHead_Adult",1,4,2
