"Monsters",,,,
,"Name","Wave","x","y"
,"string","int","int","int"
,"Barrel",,,2
,"Basic_Teen",,,5
,"Basic_Teen",,,6
,"Spawner_Adult_(Moving)",,1,3
,"Barrel",,2,2
,"Basic_Teen",,2,5
,"Basic_Teen",,2,6
,"Spawner_Adult_(Moving)",,3,3
,"Barrel",,4,2
,"Basic_Teen",,4,5
,"Basic_Teen",,4,6
,"Barrel",1,,3
,"Barrel",1,,2
,"Barrel",1,,1
,"Barrel",1,,4
,"Basic_Baby",1,,6
,"Basic_Baby",1,,7
,"Basic_Baby",1,,5
,"Spawner_Adult_(Moving)",1,1,2
,"Wall",1,1,1
,"Spawner_Adult_(Moving)",1,2,3
,"Wall",1,2,1
,"Spawner_Adult_(Moving)",1,3,4
,"Wall",1,3,1
,"Barrel",1,4,4
,"Barrel",1,4,1
,"Barrel",1,4,2
,"Barrel",1,4,3
,"Basic_Baby",1,4,6
,"Basic_Baby",1,4,5
,"Basic_Baby",1,4,7
