"Monsters",,,,
,"Name","Wave","x","y"
,"string","int","int","int"
,"Basic_Adult",,,
,"Basic_Adult",,,1
,"Basic_Adult",,,2
,"Basic_Adult",,,3
,"Basic_Adult",,,4
,"Basic_Adult",,,5
,"Basic_Adult",,1,
,"Basic_Teen",,1,1
,"Basic_Teen",,1,2
,"Basic_Teen",,1,3
,"Basic_Teen",,1,4
,"Basic_Adult",,1,5
,"Basic_Adult",,2,
,"Basic_Teen",,2,1
,"Basic_Teen",,2,2
,"Basic_Teen",,2,3
,"Basic_Teen",,2,4
,"Basic_Adult",,2,5
,"Basic_Adult",,3,
,"Basic_Teen",,3,1
,"Basic_Teen",,3,2
,"Basic_Teen",,3,3
,"Basic_Teen",,3,4
,"Basic_Adult",,3,5
,"Basic_Adult",,4,
,"Basic_Adult",,4,1
,"Basic_Adult",,4,2
,"Basic_Adult",,4,3
,"Basic_Adult",,4,4
,"Basic_Adult",,4,5
