"Monsters",,,,
,"Name","Wave","x","y"
,"string","int","int","int"
,"Wall",,,
,"Barrel",,,5
,"Splitter_(Small)",,,6
,"Barrel",,,1
,"Splitter_(Mid)",,,3
,"Wall",,1,2
,"Wall",,1,6
,"FireHead_Adult",,1,7
,"Hypno",,1,
,"Wall",,2,
,"Wall",,2,3
,"Wall",,2,6
,"FireHead_Adult",,2,7
,"Splitter_(Mid)",,2,4
,"Wall",,3,
,"Wall",,3,3
,"Wall",,3,6
,"Wall",,3,7
,"Barrel",,3,4
,"FireHead_Adult",,3,2
,"Healer",,3,1
,"Wall",,4,
,"Barrel",,4,6
,"Splitter_(Small)",,4,7
,"Splitter_(Mid)",,4,5
,"Wall",,4,3
,"Healer",,4,1
,"FireHead_Adult",,4,2
,"Wall",1,,3
,"Wall",1,,4
,"Wall",1,,5
,"Spawner_Adult_(Moving)_3",1,,
,"FireHead_Adult",1,,2
,"Wall",1,1,2
,"Wall",1,1,6
,"Barrel",1,1,3
,"Barrel",1,1,4
,"Barrel",1,1,5
,"Wall",1,2,1
,"Healer",1,2,2
,"Hypno",1,2,3
,"Barrel",1,2,4
,"Splitter_(Small)",1,2,6
,"Splitter_(Small)",1,2,5
,"Splitter_(Mid)",1,2,7
,"Wall",1,3,6
,"Wall",1,3,2
,"Spawner_Adult_(Moving)_3",1,3,
,"Barrel",1,3,3
,"Barrel",1,3,4
,"Barrel",1,3,5
,"Wall",1,4,5
,"Wall",1,4,4
,"Wall",1,4,3
,"FireHead_Adult",1,4,2
