"Monsters",,,,
,"Name","Wave","x","y"
,"string","int","int","int"
,"Fat",,,6
,"Fat",,,3
,"Fat",,,
,"Healer",,,5
,"Healer",,,2
,"Healer",,1,4
,"Healer",,1,1
,"Bomb",,1,5
,"Bomb",,1,2
,"Healer",,2,3
,"Healer",,2,2
,"FireHead_Adult",,2,
,"Fat",,3,6
,"Fat",,3,3
,"Fat",,3,
,"Healer",,3,4
,"Healer",,3,1
,"Bomb",,3,5
,"Bomb",,3,2
,"Healer",,4,5
,"Healer",,4,2
,"Barrel",1,,2
,"Firehead_Child",1,,
,"Firehead_Child",1,,1
,"Firehead_Child",1,,3
,"Basic_Baby",1,,4
,"Barrel",1,1,
,"Firehead_Child",1,1,1
,"Firehead_Child",1,1,2
,"Barrel",1,1,4
,"Basic_Baby",1,1,3
,"Barrel",1,2,2
,"Firehead_Child",1,2,
,"Firehead_Child",1,2,1
,"Basic_Baby",1,2,3
,"Basic_Baby",1,2,4
,"Barrel",1,3,
,"Firehead_Child",1,3,1
,"Firehead_Child",1,3,2
,"Barrel",1,3,4
,"Basic_Baby",1,3,3
,"Barrel",1,4,2
,"Firehead_Child",1,4,
,"Firehead_Child",1,4,1
,"Firehead_Child",1,4,3
,"Basic_Baby",1,4,4
