"Monsters",,,,
,"Name","Wave","x","y"
,"string","int","int","int"
,"Firehead_Child",,,3
,"Basic_Baby",,,5
,"Barrel",,1,3
,"Firehead_Child",,1,2
,"Splitter_(Mid)",,1,4
,"Firehead_Child",,2,3
,"Splitter_(Mid)",,2,5
,"Basic_Baby",,3,6
,"Firehead_Child",,3,4
,"Splitter_(Mid)",1,,5
,"Firehead_Child",1,1,1
,"Basic_Baby",1,1,2
,"Splitter_(Mid)",1,1,6
,"Barrel",1,1,5
,"Basic_Baby",1,1,4
,"Basic_Baby",1,1,3
,"Splitter_(Mid)",1,2,5
,"Basic_Baby",1,2,3
,"Firehead_Child",1,3,1
,"Basic_Baby",1,3,2
,"Basic_Baby",1,3,3
,"Basic_Baby",1,3,4
