Name,FileName,ExportName,TileWidth,TileHeight,Capacity,TimeMin,TimeSec,ShopIconExportName,BrokenPartCount,BrokenExportName,EffectExportName,CollectionTool1,CollectionTool2,CollectionTool3,TapSound,CollectSound,FullIconExportName,TID
String,String,String,int,int,int,int,int,String,int,String,String,String,String,String,String,String,String,String
Shed,sc/buildings_new.sc,shed_01,3,3,50,,,shop_icon_warehouse,6,shed_01_broken,repairsmoke_02,Bolt,Plank,Duct Tape,MenuBleep,CoinXpExplosion,popup_warehouse_full,TID_WAREHOUSE
,,shed_02,,,75,,,,,,,,,,,,,
,,shed_02,,,100,,,,,,,,,,,,,
,,shed_02,,,125,,,,,,,,,,,,,
,,shed_03,,,150,,,,,,,,,,,,,
,,shed_03,,,175,,,,,,,,,,,,,
,,shed_03,,,200,,,,,,,,,,,,,
,,shed_03,,,225,,,,,,,,,,,,,
,,shed_03,,,250,,,,,,,,,,,,,
,,shed_03,,,275,,,,,,,,,,,,,
,,shed_04,,,300,,,,,,,,,,,,,
,,shed_04,,,325,,,,,,,,,,,,,
,,shed_04,,,350,,,,,,,,,,,,,
,,shed_04,,,375,,,,,,,,,,,,,
,,shed_04,,,400,,,,,,,,,,,,,
,,shed_04,,,425,,,,,,,,,,,,,
,,shed_04,,,450,,,,,,,,,,,,,
,,shed_04,,,475,,,,,,,,,,,,,
,,shed_04,,,500,,,,,,,,,,,,,
,,shed_04,,,525,,,,,,,,,,,,,
,,shed_04,,,550,,,,,,,,,,,,,
,,shed_04,,,575,,,,,,,,,,,,,
,,shed_04,,,600,,,,,,,,,,,,,
,,shed_04,,,625,,,,,,,,,,,,,
,,shed_04,,,650,,,,,,,,,,,,,
,,shed_04,,,675,,,,,,,,,,,,,
,,shed_04,,,700,,,,,,,,,,,,,
,,shed_04,,,725,,,,,,,,,,,,,
,,shed_04,,,750,,,,,,,,,,,,,
,,shed_04,,,775,,,,,,,,,,,,,
,,shed_04,,,800,,,,,,,,,,,,,
,,shed_04,,,825,,,,,,,,,,,,,
,,shed_04,,,850,,,,,,,,,,,,,
,,shed_04,,,875,,,,,,,,,,,,,
,,shed_04,,,900,,,,,,,,,,,,,
,,shed_04,,,925,,,,,,,,,,,,,
,,shed_04,,,950,,,,,,,,,,,,,
,,shed_04,,,975,,,,,,,,,,,,,
,,shed_04,,,1000,,,,,,,,,,,,,
,,shed_04,,,1050,,,,,,,,,,,,,
,,shed_04,,,1100,,,,,,,,,,,,,
,,shed_04,,,1150,,,,,,,,,,,,,
,,shed_04,,,1200,,,,,,,,,,,,,
,,shed_04,,,1250,,,,,,,,,,,,,
,,shed_04,,,1300,,,,,,,,,,,,,
,,shed_04,,,1350,,,,,,,,,,,,,
,,shed_04,,,1400,,,,,,,,,,,,,
,,shed_04,,,1450,,,,,,,,,,,,,
,,shed_04,,,1500,,,,,,,,,,,,,
,,shed_04,,,1550,,,,,,,,,,,,,
,,shed_04,,,1600,,,,,,,,,,,,,
,,shed_04,,,1650,,,,,,,,,,,,,
,,shed_04,,,1700,,,,,,,,,,,,,
,,shed_04,,,1750,,,,,,,,,,,,,
,,shed_04,,,1800,,,,,,,,,,,,,
,,shed_04,,,1850,,,,,,,,,,,,,
,,shed_04,,,1900,,,,,,,,,,,,,
,,shed_04,,,1950,,,,,,,,,,,,,
,,shed_04,,,2000,,,,,,,,,,,,,
,,shed_04,,,2050,,,,,,,,,,,,,
,,shed_04,,,2100,,,,,,,,,,,,,
,,shed_04,,,2150,,,,,,,,,,,,,
,,shed_04,,,2200,,,,,,,,,,,,,
,,shed_04,,,2250,,,,,,,,,,,,,
,,shed_04,,,2300,,,,,,,,,,,,,
,,shed_04,,,2350,,,,,,,,,,,,,
,,shed_04,,,2400,,,,,,,,,,,,,
,,shed_04,,,2450,,,,,,,,,,,,,
,,shed_04,,,2500,,,,,,,,,,,,,
,,shed_04,,,2550,,,,,,,,,,,,,
,,shed_04,,,2600,,,,,,,,,,,,,
,,shed_04,,,2650,,,,,,,,,,,,,
,,shed_04,,,2700,,,,,,,,,,,,,
,,shed_04,,,2750,,,,,,,,,,,,,
,,shed_04,,,2800,,,,,,,,,,,,,
,,shed_04,,,2850,,,,,,,,,,,,,
,,shed_04,,,2900,,,,,,,,,,,,,
,,shed_04,,,2950,,,,,,,,,,,,,
,,shed_04,,,3000,,,,,,,,,,,,,
,,shed_04,,,3050,,,,,,,,,,,,,
,,shed_04,,,3100,,,,,,,,,,,,,
,,shed_04,,,3150,,,,,,,,,,,,,
,,shed_04,,,3200,,,,,,,,,,,,,
,,shed_04,,,3250,,,,,,,,,,,,,
,,shed_04,,,3300,,,,,,,,,,,,,
,,shed_04,,,3350,,,,,,,,,,,,,
,,shed_04,,,3400,,,,,,,,,,,,,
,,shed_04,,,3450,,,,,,,,,,,,,
,,shed_04,,,3500,,,,,,,,,,,,,
,,shed_04,,,3550,,,,,,,,,,,,,
,,shed_04,,,3600,,,,,,,,,,,,,
,,shed_04,,,3650,,,,,,,,,,,,,
,,shed_04,,,3700,,,,,,,,,,,,,
,,shed_04,,,3750,,,,,,,,,,,,,
,,shed_04,,,3800,,,,,,,,,,,,,
,,shed_04,,,3850,,,,,,,,,,,,,
,,shed_04,,,3900,,,,,,,,,,,,,
,,shed_04,,,3950,,,,,,,,,,,,,
,,shed_04,,,4000,,,,,,,,,,,,,
,,shed_04,,,4050,,,,,,,,,,,,,
,,shed_04,,,4100,,,,,,,,,,,,,
,,shed_04,,,4150,,,,,,,,,,,,,
,,shed_04,,,4200,,,,,,,,,,,,,
,,shed_04,,,4250,,,,,,,,,,,,,
,,shed_04,,,4300,,,,,,,,,,,,,
,,shed_04,,,4350,,,,,,,,,,,,,
,,shed_04,,,4400,,,,,,,,,,,,,
,,shed_04,,,4450,,,,,,,,,,,,,
,,shed_04,,,4500,,,,,,,,,,,,,
,,shed_04,,,4550,,,,,,,,,,,,,
,,shed_04,,,4600,,,,,,,,,,,,,
,,shed_04,,,4650,,,,,,,,,,,,,
,,shed_04,,,4700,,,,,,,,,,,,,
,,shed_04,,,4750,,,,,,,,,,,,,
,,shed_04,,,4800,,,,,,,,,,,,,
,,shed_04,,,4850,,,,,,,,,,,,,
,,shed_04,,,4900,,,,,,,,,,,,,
,,shed_04,,,4950,,,,,,,,,,,,,
,,shed_04,,,5000,,,,,,,,,,,,,
,,shed_04,,,5050,,,,,,,,,,,,,
,,shed_04,,,5100,,,,,,,,,,,,,
,,shed_04,,,5150,,,,,,,,,,,,,
,,shed_04,,,5200,,,,,,,,,,,,,
,,shed_04,,,5250,,,,,,,,,,,,,
,,shed_04,,,5300,,,,,,,,,,,,,
,,shed_04,,,5350,,,,,,,,,,,,,
,,shed_04,,,5400,,,,,,,,,,,,,
,,shed_04,,,5450,,,,,,,,,,,,,
,,shed_04,,,5500,,,,,,,,,,,,,
,,shed_04,,,5550,,,,,,,,,,,,,
,,shed_04,,,5600,,,,,,,,,,,,,
,,shed_04,,,5650,,,,,,,,,,,,,
,,shed_04,,,5700,,,,,,,,,,,,,
,,shed_04,,,5750,,,,,,,,,,,,,
,,shed_04,,,5800,,,,,,,,,,,,,
,,shed_04,,,5850,,,,,,,,,,,,,
,,shed_04,,,5900,,,,,,,,,,,,,
,,shed_04,,,5950,,,,,,,,,,,,,
,,shed_04,,,6000,,,,,,,,,,,,,
,,shed_04,,,6050,,,,,,,,,,,,,
,,shed_04,,,6100,,,,,,,,,,,,,
,,shed_04,,,6150,,,,,,,,,,,,,
,,shed_04,,,6200,,,,,,,,,,,,,
,,shed_04,,,6250,,,,,,,,,,,,,
,,shed_04,,,6300,,,,,,,,,,,,,
,,shed_04,,,6350,,,,,,,,,,,,,
,,shed_04,,,6400,,,,,,,,,,,,,
,,shed_04,,,6450,,,,,,,,,,,,,
,,shed_04,,,6500,,,,,,,,,,,,,
,,shed_04,,,6550,,,,,,,,,,,,,
,,shed_04,,,6600,,,,,,,,,,,,,
,,shed_04,,,6650,,,,,,,,,,,,,
,,shed_04,,,6700,,,,,,,,,,,,,
,,shed_04,,,6750,,,,,,,,,,,,,
,,shed_04,,,6800,,,,,,,,,,,,,
,,shed_04,,,6850,,,,,,,,,,,,,
,,shed_04,,,6900,,,,,,,,,,,,,
,,shed_04,,,6950,,,,,,,,,,,,,
,,shed_04,,,7000,,,,,,,,,,,,,
,,shed_04,,,7050,,,,,,,,,,,,,
,,shed_04,,,7100,,,,,,,,,,,,,
,,shed_04,,,7150,,,,,,,,,,,,,
,,shed_04,,,7200,,,,,,,,,,,,,
,,shed_04,,,7250,,,,,,,,,,,,,
