Name,FileName,ExportName,TileWidth,TileHeight,Capacity,TimeMin,TimeSec,ShopIconExportName,EffectExportName,CollectionTool1,CollectionTool2,CollectionTool3,TapSound,CollectSound
String,String,String,int,int,int,int,int,String,String,String,String,String,String,String
TackleBox,sc/fishing_area_buildings_and_decos.sc,lure_box,1,1,20,,,popup_tacklebox_full,repairsmoke_01,Nail,Screw,Wood Panel,MenuBleep,CoinXpExplosion
,,lure_box_lvl2,,,25,,,,,,,,,
,,lure_box_lvl2,,,30,,,,,,,,,
,,lure_box_lvl2,,,35,,,,,,,,,
,,lure_box_lvl3,,,40,,,,,,,,,
,,lure_box_lvl3,,,45,,,,,,,,,
,,lure_box_lvl3,,,50,,,,,,,,,
,,lure_box_lvl3,,,55,,,,,,,,,
,,lure_box_lvl3,,,60,,,,,,,,,
,,lure_box_lvl3,,,65,,,,,,,,,
,,lure_box_lvl4,,,70,,,,,,,,,
,,lure_box_lvl4,,,75,,,,,,,,,
,,lure_box_lvl4,,,80,,,,,,,,,
,,lure_box_lvl4,,,85,,,,,,,,,
,,lure_box_lvl4,,,90,,,,,,,,,
,,lure_box_lvl4,,,95,,,,,,,,,
,,lure_box_lvl4,,,100,,,,,,,,,
,,lure_box_lvl4,,,105,,,,,,,,,
,,lure_box_lvl4,,,110,,,,,,,,,
,,lure_box_lvl4,,,115,,,,,,,,,
,,lure_box_lvl4,,,120,,,,,,,,,
,,lure_box_lvl4,,,125,,,,,,,,,
,,lure_box_lvl4,,,130,,,,,,,,,
,,lure_box_lvl4,,,135,,,,,,,,,
,,lure_box_lvl4,,,140,,,,,,,,,
,,lure_box_lvl4,,,145,,,,,,,,,
,,lure_box_lvl4,,,150,,,,,,,,,
,,lure_box_lvl4,,,155,,,,,,,,,
,,lure_box_lvl4,,,160,,,,,,,,,
,,lure_box_lvl4,,,165,,,,,,,,,
,,lure_box_lvl4,,,170,,,,,,,,,
,,lure_box_lvl4,,,175,,,,,,,,,
,,lure_box_lvl4,,,180,,,,,,,,,
,,lure_box_lvl4,,,185,,,,,,,,,
,,lure_box_lvl4,,,190,,,,,,,,,
,,lure_box_lvl4,,,195,,,,,,,,,
,,lure_box_lvl4,,,200,,,,,,,,,
,,lure_box_lvl4,,,205,,,,,,,,,
,,lure_box_lvl4,,,210,,,,,,,,,
,,lure_box_lvl4,,,215,,,,,,,,,
,,lure_box_lvl4,,,220,,,,,,,,,
,,lure_box_lvl4,,,225,,,,,,,,,
,,lure_box_lvl4,,,230,,,,,,,,,
,,lure_box_lvl4,,,235,,,,,,,,,
,,lure_box_lvl4,,,240,,,,,,,,,
,,lure_box_lvl4,,,245,,,,,,,,,
,,lure_box_lvl4,,,250,,,,,,,,,
,,lure_box_lvl4,,,255,,,,,,,,,
,,lure_box_lvl4,,,260,,,,,,,,,
,,lure_box_lvl4,,,265,,,,,,,,,
,,lure_box_lvl4,,,270,,,,,,,,,
,,lure_box_lvl4,,,275,,,,,,,,,
,,lure_box_lvl4,,,280,,,,,,,,,
,,lure_box_lvl4,,,285,,,,,,,,,
,,lure_box_lvl4,,,290,,,,,,,,,
,,lure_box_lvl4,,,295,,,,,,,,,
,,lure_box_lvl4,,,300,,,,,,,,,
,,lure_box_lvl4,,,305,,,,,,,,,
,,lure_box_lvl4,,,310,,,,,,,,,
,,lure_box_lvl4,,,315,,,,,,,,,
,,lure_box_lvl4,,,320,,,,,,,,,
,,lure_box_lvl4,,,325,,,,,,,,,
,,lure_box_lvl4,,,330,,,,,,,,,
,,lure_box_lvl4,,,335,,,,,,,,,
,,lure_box_lvl4,,,340,,,,,,,,,
,,lure_box_lvl4,,,345,,,,,,,,,
,,lure_box_lvl4,,,350,,,,,,,,,
,,lure_box_lvl4,,,355,,,,,,,,,
,,lure_box_lvl4,,,360,,,,,,,,,
,,lure_box_lvl4,,,365,,,,,,,,,
,,lure_box_lvl4,,,370,,,,,,,,,
,,lure_box_lvl4,,,375,,,,,,,,,
