"TID","EN",
"string","string",
"TID_NOTIFY_STAMINA_FULL","Your energy is full!\nLet's pop some ghosts!",
"TID_NOTIFY_GATE_OPEN","The Spooky Gate is now open! ",
"TID_GATE_OPEN","Open!",
"TID_LIVES_FULL","Full!",
"TID_BUY_LIVES","Refill Your Energy!",
"TID_REFILL_LIVES","Refill your energy!",
"TID_TIME_DAYS","d",
"TID_TIME_HOURS","h",
"TID_TIME_MINS","m",
"TID_TIME_SECS","s",
"TID_BACK","Back",
"TID_OK","Ok",
"TID_SELECT","Select",
"TID_NAME","Name",
"TID_LEVEL","Level <number>",
"TID_GIVE_NAME_TITLE","Type in your name",
"TID_LOADING","Loading...",
"TID_CONTINUE_GAME_TITLE",,
"TID_CONTINUE_GAME_TEXT","Do you want to use <amount> gems to recover and continue?\n\n(You have <number> gems).",
"TID_USE","Use",
"TID_CANCEL","Cancel",
"TID_PLAY","PLAY",
"TID_YES","YES",
"TID_NO","NO",
"TID_INVALID_NAME","Unfortunately you cannot use this name, please try again.",
"TID_NAME_TOO_SHORT","Unfortunately this name is too short, please try again.",
"TID_POPUP_NOT_ENOUGH_DIAMONDS_TITLE","Not Enough Gems",
"TID_POPUP_NOT_ENOUGH_DIAMONDS","Would you like to buy more?",
"TID_POPUP_BUY_GEMS_TITLE","Gems Shop",
"TID_POPUP_BUY_GEMS","Do you want to buy gems?",
"TID_SCORETEXT","Score:",
"TID_PLAYER","You",
"TID_STREAM_SENDER_YOU","You",
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","Version mismatch",
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","You need an update.",
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","Get it",
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","Auto disconnected",
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","Disconnected",
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","Reconnect",
"TID_ERROR_POP_UP_ALREADY_LOGGED_IN","Already logged in with another device",
"TID_UPDATING_CONTENT","Updating content",
"TID_COME_BACK_NOTIFICATION_LARGE","Someone PLEASE help us pop these ghosts!",
"TID_COME_BACK_NOTIFICATION_MEDIUM","Are those ghosts?! HELP! THEY'RE EVERYWH-",
"TID_COME_BACK_NOTIFICATION_SMALL","YIKES! There are ghosts everywhere! We need your help!",
"TID_ERROR_POP_UP_BANNED","Retry login",
"TID_ERROR_POP_UP_CONNECTION_FAILED","Failed to connect to the server.",
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","Retry",
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","Connection lost",
"TID_ERROR_POP_UP_CONNECTION_LOST","Connection to the server has been lost.",
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","Reconnect",
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","Connection lost",
"TID_ERROR_POP_UP_LOGIN_FAILED","Login has failed.",
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","Retry",
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","Login failed",
"TID_ERROR_POP_UP_OUT_OF_SYNC","Server and client are out of sync.",
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","Reconnect",
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","Out of sync",
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","Game is currently in maintenance.",
